d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
20000,Aguascalientes Centro,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,1,Urbano,1.0
20010,Colinas del Rio,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,5,Urbano,1.0
20010,Olivares Santana,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,6,Urbano,1.0
20010,Las Brisas,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,7,Urbano,1.0
20010,Ramon Romo Franco,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,8,Urbano,1.0
20010,San Cayetano,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,9,Urbano,1.0
20016,Colinas de San Ignacio,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,10,Urbano,1.0
20016,La Fundición,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,11,Urbano,1.0
20016,Fundición II,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,12,Urbano,1.0
20016,Los Sauces,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,13,Urbano,1.0
20018,Línea de Fuego,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,14,Urbano,1.0
20020,Buenos Aires,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,16,Urbano,1.0
20020,Circunvalación Norte,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,18,Urbano,1.0
20020,Las Arboledas,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,19,Urbano,1.0
20020,Villas de San Francisco,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,20,Urbano,1.0
20029,Villas de La Universidad,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,21,Urbano,1.0
20030,El Sol,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,22,Urbano,1.0
20030,Gremial,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,23,Urbano,1.0
20030,Industrial,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,24,Urbano,1.0
20040,Altavista,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,26,Urbano,1.0
20040,Curtidores,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,27,Urbano,1.0
20040,La Concordia,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,29,Urbano,1.0
20040,Miravalle,Colonia,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,9,1,30,Urbano,1.0
20040,Panorama,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,31,Urbano,1.0
20040,Residencial Guadalupe,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,367,Urbano,1.0
20049,Colinas del Poniente,Fraccionamiento,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,21,1,36,Urbano,1.0
20050,Bugambilias,Condominio,Aguascalientes,Aguascalientes,Aguascalientes,20001,1,20001,,10,1,37,Urbano,1.0
