d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
23000,Zona Central,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,1,Urbano,2.0
23000,Puerta de Hierro,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,285,Urbano,2.0
23000,Love,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,290,Urbano,2.0
23007,Palacio de Gobierno del Estado de Baja California Sur,Equipamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,17,3,8,Urbano,2.0
23009,Oficina Federal de Hacienda,Equipamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,17,3,10,Urbano,2.0
23010,Ciudad del Cielo,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,11,Urbano,2.0
23010,Colina del Sol,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,12,Urbano,2.0
23010,Lomas de Palmira,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,13,Urbano,2.0
23010,Agustín Olachea,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,14,Urbano,2.0
23010,La Piedra,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,289,Urbano,2.0
23017,Paseos del Cortes,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,16,Urbano,2.0
23018,Alfonso Sanchez Madariaga INFONAVIT,Unidad habitacional,La Paz,Baja California Sur,La Paz,23001,3,23001,,31,3,17,Urbano,2.0
23018,Pedregal del Cortes,Unidad habitacional,La Paz,Baja California Sur,La Paz,23001,3,23001,,31,3,18,Urbano,2.0
23018,Reforma,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,19,Urbano,2.0
23019,Policentro Palmira,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,22,Urbano,2.0
23019,Pedregal de la Paz,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,73,Urbano,2.0
23019,Punta Prieta,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,247,Urbano,2.0
23019,Las Colinas,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,286,Urbano,2.0
23019,Puerta Cortés,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,287,Urbano,2.0
23019,Playa de la Paz,Fraccionamiento,La Paz,Baja California Sur,La Paz,23001,3,23001,,21,3,288,Urbano,2.0
23020,Colina de La Cruz,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,23,Urbano,2.0
23020,Esterito,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,24,Urbano,2.0
23020,Ladrillera,Colonia,La Paz,Baja California Sur,La Paz,23001,3,23001,,9,3,25,Urbano,2.0
