d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
24000,San Francisco de Campeche Centro,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1,Urbano,1.0
24010,Guadalupe,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,9,Urbano,1.0
24010,Pablo Garcia,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,10,Urbano,1.0
24010,San Francisco,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,11,Urbano,1.0
24010,Villa del Río,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,13,Urbano,1.0
24010,Guadalupe,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,532,Urbano,1.0
24014,Ah-kim-pech,Zona comercial,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,33,2,533,Urbano,1.0
24020,Residencial del Bosque,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,4,Urbano,1.0
24020,Bellavista,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,16,Urbano,1.0
24020,Ampliación Bellavista,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,17,Urbano,1.0
24020,Emiliano Zapata,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,18,Urbano,1.0
24020,La Ermita,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,19,Urbano,1.0
24020,San Joaquín,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,20,Urbano,1.0
24020,Santa Lucia,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,21,Urbano,1.0
24020,Camino Real,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,534,Urbano,1.0
24020,Benito Juárez,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,535,Urbano,1.0
24020,Buenos Aires,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,536,Urbano,1.0
24020,San Caralampio,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,537,Urbano,1.0
24020,Dzarbay,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,538,Urbano,1.0
24020,Sotavento,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1066,Urbano,1.0
24020,Villamar,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1170,Urbano,1.0
24022,Montecarlo,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,35,Urbano,1.0
24022,Carzabela,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,102,Urbano,1.0
24023,Fidel Velázquez,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,23,Urbano,1.0
24023,Las Murallas,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,30,Urbano,1.0
24023,Residencial Algarrobo,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,54,Urbano,1.0
24023,Ernesto Zedillo,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,539,Urbano,1.0
24023,Residencial Campestre,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1021,Urbano,1.0
24023,Nachi Cocom,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1059,Urbano,1.0
24023,Quinta Hermosa,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1159,Urbano,1.0
24023,Hacienda Real el Fenix,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1160,Urbano,1.0
24024,Mártires de Río Blanco,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,24,Urbano,1.0
24025,Solidaridad Nacional,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,26,Urbano,1.0
24025,Paseo de los Sauces,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,119,Urbano,1.0
24026,Granjas,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,28,Urbano,1.0
24026,Morelos,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,29,Urbano,1.0
24026,San José el Alto,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,32,Urbano,1.0
24026,Divino Niño,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,100,Urbano,1.0
24026,Minas,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,541,Urbano,1.0
24026,Cumbres,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,542,Urbano,1.0
24026,Valle Dorado,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,543,Urbano,1.0
24026,Ampliación Josefa Ortiz de Domínguez,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,544,Urbano,1.0
24026,Mirador,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,545,Urbano,1.0
24026,Elvia María Pérez de González,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1013,Urbano,1.0
24026,Viveros,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1051,Urbano,1.0
24026,Diana Laura,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1063,Urbano,1.0
24026,Luis Donaldo Colosio,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1064,Urbano,1.0
24026,Palma Real,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1272,Urbano,1.0
24027,Palmas,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,33,Urbano,1.0
24027,San Miguel,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,715,Urbano,1.0
24027,Villa Mercedes,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,716,Urbano,1.0
24028,Villas de Ah-kim-Pech,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,36,Urbano,1.0
24028,Cocotero de las Palmas,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1067,Urbano,1.0
24029,Centro SCT Campeche,Equipamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,17,2,37,Urbano,1.0
24030,Bosques de Campeche,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,38,Urbano,1.0
24030,Héroes de Chapultepec (FOVI),Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,40,Urbano,1.0
24030,Resurgimiento,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,116,Urbano,1.0
24030,CEDAR Campeche,Equipamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,17,2,118,Urbano,1.0
24030,Residencial Campeche Hills,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,120,Urbano,1.0
24030,Miramar,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,547,Urbano,1.0
24030,Lomas del Castillo,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,548,Urbano,1.0
24030,Villas Universidad,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1006,Urbano,1.0
24035,Lomas del Rey,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,27,Urbano,1.0
24035,Villas de Allende,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,109,Urbano,1.0
24035,San Cayetano,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,549,Urbano,1.0
24035,San Arturo,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,550,Urbano,1.0
24035,Burócratas Pensiones,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,551,Urbano,1.0
24035,Cerro de La Eminencia,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,552,Urbano,1.0
24035,Vicente Guerrero,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,553,Urbano,1.0
24035,Prado,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,554,Urbano,1.0
24035,Lomas del Pedregal,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,1054,Urbano,1.0
24035,Residencial Pedregal,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1069,Urbano,1.0
24035,Invasión San Arturo,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,1077,Urbano,1.0
24036,Adolfo López Mateos (SUTERM),Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,42,Urbano,1.0
24036,El Pedregal,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,110,Urbano,1.0
24036,Electricistas,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,111,Urbano,1.0
24037,Ciudad Militar,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,43,Urbano,1.0
24038,Kanisté,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,44,Urbano,1.0
24038,Kaniste,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,555,Urbano,1.0
24038,Rinconada del Valle,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,556,Urbano,1.0
24038,Monte Verde,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1296,Urbano,1.0
24039,Buenavista,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,45,Urbano,1.0
24040,San José,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,46,Urbano,1.0
24040,San Román,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,47,Urbano,1.0
24040,Privada Narciso Mendoza,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1031,Urbano,1.0
24044,Montecristo,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,557,Urbano,1.0
24044,Lazareto,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,9,2,558,Urbano,1.0
24044,Residencial Resurgimiento,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,1078,Urbano,1.0
24049,Bicentenario I y II,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,49,Urbano,1.0
24050,FOVISSSTE Belén,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,31,2,50,Urbano,1.0
24050,Santa Ana,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,2,2,52,Urbano,1.0
24050,Villa Tulipanes,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,112,Urbano,1.0
24050,San Juan,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,4,24003,,21,2,114,Urbano,1.0
