d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
31000,Chihuahua Centro,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,8,31001,,9,19,2249,Urbano,2.0
31000,Sector Bolívar,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,8,31001,,9,19,2252,Urbano,2.0
31000,Parque Rotario,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,8,31001,,9,19,2253,Urbano,2.0
31000,Colon,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,8,31001,,9,19,2254,Urbano,2.0
31000,El Bajo,Barrio,Chihuahua,Chihuahua,Chihuahua,31001,8,31001,,2,19,2255,Urbano,2.0
31000,San Pedro,Barrio,Chihuahua,Chihuahua,Chihuahua,31001,8,31001,,2,19,4070,Urbano,2.0
31020,Santa Rita,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2271,Urbano,2.0
31020,Cuauhtémoc,Unidad habitacional,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,31,19,2272,Urbano,2.0
31020,Zarco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2279,Urbano,2.0
31020,Inalámbrica,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2281,Urbano,2.0
31020,Sector Salud,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2283,Urbano,2.0
31020,Cuarteles,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2358,Urbano,2.0
31020,Residencial Zarco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2360,Urbano,2.0
31020,Herradura Pdu,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2363,Urbano,2.0
31020,Linss,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2364,Urbano,2.0
31020,Rubio,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2365,Urbano,2.0
31020,Las Huertas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,3858,Urbano,2.0
31029,Quinta Zona Militar,Equipamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,17,19,10,Urbano,2.0
31030,Pacifico,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2448,Urbano,2.0
31030,Francisco I. Madero,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2452,Urbano,2.0
31030,Rosario,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2466,Urbano,2.0
31034,Gustavo Diaz Ordaz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2619,Urbano,2.0
31034,Francisco R Almada,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2620,Urbano,2.0
31034,Reforma,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2621,Urbano,2.0
31034,Ampliación Reforma,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2622,Urbano,2.0
31034,Ferrocarrilera,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2623,Urbano,2.0
31034,Ampliación Gustavo Díaz Ordaz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,3854,Urbano,2.0
31050,Santa Rosa,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2416,Urbano,2.0
31050,Pablo Amaya Norte,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2417,Urbano,2.0
31050,Rincones de Santa Rosa,Unidad habitacional,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,31,19,2420,Urbano,2.0
31050,Pablo Amaya Sur,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2422,Urbano,2.0
31050,Bellavista,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2430,Urbano,2.0
31050,Melchor Ocampo,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2431,Urbano,2.0
31050,Dale,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2460,Urbano,2.0
31054,Cerro Grande,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2597,Urbano,2.0
31054,Las Vencedoras,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2598,Urbano,2.0
31054,Villas del Sur,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2599,Urbano,2.0
31054,Loma Alta,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2600,Urbano,2.0
31054,San Agustín,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2601,Urbano,2.0
31054,San Jorge,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2602,Urbano,2.0
31054,San Lázaro,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2603,Urbano,2.0
31054,San Juan,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2604,Urbano,2.0
31054,Unidad Proletaria,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2605,Urbano,2.0
31054,Valle Escondido,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2607,Urbano,2.0
31054,Villa Dolores,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2608,Urbano,2.0
31054,Adelitas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2609,Urbano,2.0
31060,San Rafael,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2392,Urbano,2.0
31060,Barrio de Londres,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2393,Urbano,2.0
31060,La Joya,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2394,Urbano,2.0
31060,La Minita,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2395,Urbano,2.0
31060,Toribio Ortega 2,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2396,Urbano,2.0
31060,Lealtad I,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2397,Urbano,2.0
31060,San Fernando,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2399,Urbano,2.0
31060,Puerta del Sol,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2400,Urbano,2.0
31060,San Miguel,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2401,Urbano,2.0
31060,Madera 65,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2402,Urbano,2.0
31060,Rachali,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,3871,Urbano,2.0
31063,Mármol Viejo,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2680,Urbano,2.0
31063,15 de Enero,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2681,Urbano,2.0
31063,17 de Junio,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2682,Urbano,2.0
31063,Alianza Popular,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2683,Urbano,2.0
31063,Chulavista I,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2684,Urbano,2.0
31063,Chulavista II,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2685,Urbano,2.0
31063,Cumbres del Sur I,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2686,Urbano,2.0
31063,Cumbres del Sur II,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2687,Urbano,2.0
31063,Desarrollo Urbano,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2688,Urbano,2.0
31063,Dorados de Villa,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2689,Urbano,2.0
31063,Lázaro Cárdenas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2690,Urbano,2.0
31063,Manuel Bernardo Aguirre,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2692,Urbano,2.0
31063,Mármol I,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2693,Urbano,2.0
31063,Mármol II,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2694,Urbano,2.0
31063,Mármol III,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2695,Urbano,2.0
31063,Nueva España I,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2697,Urbano,2.0
31063,Nueva España II,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,2698,Urbano,2.0
31063,Ampliación las Adelitas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2701,Urbano,2.0
31063,Leandro Valle,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2702,Urbano,2.0
31063,Villas de Nueva España,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,3913,Urbano,2.0
31063,Puerta Esmeralda,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,21,19,9661,Urbano,2.0
31064,Integración de la Sociedad,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,58,Urbano,2.0
31064,Villa Juárez,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2721,Urbano,2.0
31064,27 de Noviembre,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2722,Urbano,2.0
31064,Felipe Ángeles,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2724,Urbano,2.0
31064,Libertad,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2725,Urbano,2.0
31064,México 91,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2726,Urbano,2.0
31064,Miguel Hidalgo,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2727,Urbano,2.0
31064,Misael Núñez,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2728,Urbano,2.0
31064,Plan de Ayala,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2729,Urbano,2.0
31064,Rigoberto Quiroz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2730,Urbano,2.0
31064,Ampliación Rigoberto Quiroz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2731,Urbano,2.0
31064,Sector Reloj,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2732,Urbano,2.0
31064,Ricardo Flores Magón,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,8,31052,,9,19,2735,Urbano,2.0
