d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
28000,Colima Centro,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,1,Urbano,1.0
28010,Lomas de Circunvalación,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,14,Urbano,1.0
28010,Militar Lomas,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,34,Urbano,1.0
28014,Jardines de las Lomas,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,17,Urbano,1.0
28016,Lomas Vistahermosa,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,19,Urbano,1.0
28017,Bugambilias,Condominio,Colima,Colima,Colima,28001,6,28001,,10,2,20,Urbano,1.0
28017,Colinas de Santa Bárbara,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,21,Urbano,1.0
28017,Jardines Vista Hermosa,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,22,Urbano,1.0
28017,Las Palmas,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,23,Urbano,1.0
28017,Lomas Verdes,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,24,Urbano,1.0
28017,Parque Royal,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,25,Urbano,1.0
28017,Residencial Santa Bárbara,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,26,Urbano,1.0
28017,Lomas del Valle,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,96,Urbano,1.0
28017,Residencial Valle Verde,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,101,Urbano,1.0
28017,Rincón del Colibrí,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,103,Urbano,1.0
28017,Bosque de la Cantera,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,111,Urbano,1.0
28017,Albaterra Residencial,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,114,Urbano,1.0
28017,El Volantín,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,115,Urbano,1.0
28017,Residencial Puerta del Sol,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,651,Urbano,1.0
28017,Residencial Esmeralda,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,652,Urbano,1.0
28017,Villanova,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,665,Urbano,1.0
28017,Privada San Rafael,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,729,Urbano,1.0
28017,Villas Colinas,Condominio,Colima,Colima,Colima,28001,6,28001,,10,2,738,Urbano,1.0
28017,Residencial Esmeralda Norte,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,739,Urbano,1.0
28017,Residencial Los Olivos,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,743,Urbano,1.0
28017,Jardines de La Hacienda,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,761,Urbano,1.0
28017,Residencial Real Santa Bárbara,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,762,Urbano,1.0
28017,Residencial Victoria,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,763,Urbano,1.0
28017,Paseo de la Hacienda,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,833,Urbano,1.0
28017,Colinas de Santa Fe,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,834,Urbano,1.0
28017,Paseo de la Cantera,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,835,Urbano,1.0
28017,Santa Gertrudis,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,838,Urbano,1.0
28018,El Diezmo,Colonia,Colima,Colima,Colima,28001,6,28001,,9,2,12,Urbano,1.0
28018,Hacienda Real,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,15,Urbano,1.0
28018,Loredo Residencial,Fraccionamiento,Colima,Colima,Colima,28001,6,28001,,21,2,112,Urbano,1.0
