d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
42000,Centro,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,1,Urbano,3.0
42004,La Granada,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,2258,Urbano,3.0
42010,La Alcantarilla,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,6,Urbano,3.0
42010,El Arbolito,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,8,Urbano,3.0
42010,El Atorón,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,9,Urbano,3.0
42010,La Palma,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,13,Urbano,3.0
42010,San Juan Pachuca,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,16,Urbano,3.0
42014,Nueva Estrella,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,18,Urbano,3.0
42015,Asta Bandera,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,20,Urbano,3.0
42015,El Porvenir,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,21,Urbano,3.0
42015,La Cruz,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,22,Urbano,3.0
42018,San Nicolás,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,24,Urbano,3.0
42018,Julián Carrillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,2266,Urbano,3.0
42018,La Españita,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,2268,Urbano,3.0
42020,Cuauhtémoc,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,26,Urbano,3.0
42020,José López Portillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,28,Urbano,3.0
42020,Pachuca 88,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,21,48,31,Urbano,3.0
42020,Real de Medinas,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,32,Urbano,3.0
42020,Prosperidad,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,21,48,6136,Urbano,3.0
42026,Lomas de Vista Hermosa,Fraccionamiento,Pachuca de Soto,Hidalgo,,42001,13,42001,,21,48,33,Urbano,
42027,Antonio del Castillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,9,48,35,Urbano,3.0
42027,Peña y Peña,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,,2,48,6054,Urbano,3.0
