d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
44100,Guadalajara Centro,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,3,Urbano,3.0
44110,Vallarta Poniente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,21,39,5,Urbano,3.0
44130,Arcos Vallarta,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,7,Urbano,3.0
44130,Arcos,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,21,39,200,Urbano,3.0
44140,Obrera Centro,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,8,Urbano,3.0
44150,Barrera,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,10,Urbano,3.0
44150,Lafayette,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,4188,Urbano,3.0
44158,Deitz,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,11,Urbano,3.0
44160,Americana,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,13,Urbano,3.0
44170,San Antonio,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,2,39,14,Urbano,3.0
44180,Mexicaltzingo,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,2,39,16,Urbano,3.0
44190,Moderna,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,17,Urbano,3.0
44200,Artesanos,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,9,39,19,Urbano,3.0
44200,El Santuario,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,2,39,20,Urbano,3.0
44200,Capilla de Jesús,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,2,39,21,Urbano,3.0
44200,Sagrada Familia,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,,2,39,23,Urbano,3.0
44210,Jardines del Country,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,21,39,24,Urbano,3.0
44210,Jardines del Country 2a. Sección,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,21,39,4943,Urbano,3.0
44214,Universidad,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,31,39,26,Urbano,3.0
44215,Parían,Condominio,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,10,39,28,Urbano,3.0
44216,Del Trabajo CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,31,39,29,Urbano,3.0
44216,Fidel Velázquez,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,31,39,4921,Urbano,3.0
44217,Residencial Vallarta Country,Conjunto habitacional,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,12,39,30,Urbano,3.0
44218,Fabrica de Atemajac,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,21,39,31,Urbano,3.0
44219,Casa Hogar CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,31,39,32,Urbano,3.0
44220,Circunvalación Metro Carballo,Colonia,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,9,39,33,Urbano,3.0
44220,Guadalupana Sur,Colonia,Guadalajara,Jalisco,Guadalajara,44291,14,44291,,9,39,34,Urbano,3.0
