d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
58000,INFONAVIT El Pípila,Unidad habitacional,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,31,53,1,Urbano,6.0
58000,Centro Histórico,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,2,Urbano,6.0
58000,INFONAVIT Plan de Ayala,Unidad habitacional,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,31,53,3,Urbano,6.0
58004,Universidad Michoacana de San Nicolás de Hidalgo,Equipamiento,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,17,53,7,Urbano,6.0
58006,Secretaria de Salud,Equipamiento,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,17,53,8,Urbano,6.0
58009,Palacio de Gobierno Del Estado de Michoacán,Equipamiento,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,17,53,11,Urbano,6.0
58010,Juárez,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,12,Urbano,6.0
58010,Molino de Parras,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,13,Urbano,6.0
58013,Supremo Tribunal de Justicia,Equipamiento,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,17,53,16,Urbano,6.0
58020,Cuauhtémoc,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,17,Urbano,6.0
58020,Ventura Puente,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,18,Urbano,6.0
58030,Morelos,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,19,Urbano,6.0
58040,Felicitas del Río,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,22,Urbano,6.0
58040,Gustavo Díaz Ordaz,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,23,Urbano,6.0
58048,FOVISSSTE La Huerta,Unidad habitacional,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,31,53,25,Urbano,6.0
58048,Manuel Villalongín,Colonia,Morelia,Michoacán de Ocampo,Morelia,58011,16,58011,,9,53,26,Urbano,6.0
