d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
62000,Cuernavaca Centro,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1,Urbano,2.0
62010,Altavista,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,5,Urbano,2.0
62010,Las Piletas,Fraccionamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,21,7,1030,Urbano,2.0
62017,Margarita Maza de Juárez,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,6,Urbano,2.0
62018,Altavista Barrancas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,7,Urbano,2.0
62019,Loma Hermosa,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,8,Urbano,2.0
62019,Plan de Ayala Barrancas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1008,Urbano,2.0
62019,Provinciana,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1009,Urbano,2.0
62019,Tepeyehualco,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1026,Rural,2.0
62020,Lomas de San Antón,Fraccionamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,21,7,9,Urbano,2.0
62020,José López Portillo,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,10,Urbano,2.0
62020,Sacatierra,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,11,Rural,2.0
62020,San Antón,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,12,Urbano,2.0
62020,Las Terrazas,Unidad habitacional,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,31,7,1029,Urbano,2.0
62020,Ampliación Sacatierra,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1911,Urbano,2.0
62028,Loma de los Amates (Loma de la Lagunilla),Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,45,Rural,2.0
62028,Nueva Santa María,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1013,Urbano,2.0
62028,Santa Fe,Fraccionamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,21,7,1014,Urbano,2.0
62029,Chulavista,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,13,Urbano,2.0
62030,Club de Golf,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,14,Urbano,2.0
62037,Jardines del Edén,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,2,Urbano,2.0
62037,Benito Juárez (Lagunilla),Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,15,Urbano,2.0
62037,Tenochtitlan,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,50,Rural,2.0
62037,La Unión,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,1017,Rural,2.0
62038,Lagunillas Barrancas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,16,Rural,2.0
62039,Lagunilla del Salto,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,17,Urbano,2.0
62040,Miguel Hidalgo,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,19,Urbano,2.0
62050,Benito Juárez (Centro),Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,20,Urbano,2.0
62050,Las Palmas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,21,Urbano,2.0
62057,Pilares,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,23,Urbano,2.0
62059,Bondies,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,25,Urbano,2.0
62060,Quintana Roo,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,27,Urbano,2.0
62070,Chipitlán,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,28,Urbano,2.0
62070,Mina Cinco,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,720,Urbano,2.0
62076,El Polvorín,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,29,Urbano,2.0
62076,Adolfo López Mateos (Polvorín),Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,722,Urbano,2.0
62076,Bosques de Palmira,Fraccionamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,21,7,1023,Urbano,2.0
62080,Lázaro Cárdenas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,30,Urbano,2.0
62080,Loma Bonita,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,9,7,721,Urbano,2.0
