d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
63000,Tepic Centro,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1,Urbano,2.0
63000,Esteban Baca Calderón,Unidad habitacional,Tepic,Nayarit,Tepic,63001,18,63001,,31,17,150,Urbano,2.0
63010,Amado Nervo,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,5,Urbano,2.0
63010,Amado Nervo,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,6,Urbano,2.0
63010,Paseo de La Constitución,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,7,Urbano,2.0
63010,Sacristán,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,8,Urbano,2.0
63018,El Punto,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,9,Urbano,2.0
63019,Francisco Villa,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,10,Urbano,2.0
63019,Loma Hermosa,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1061,Urbano,2.0
63020,Santa Teresita,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,11,Urbano,2.0
63020,Unidad Deportiva Santa Teresita,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,12,Urbano,2.0
63021,Adolfo López Mateos,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,13,Urbano,2.0
63022,INDECO,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,14,Urbano,2.0
63023,Ojo de Agua,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,15,Urbano,2.0
63023,Senderos del Monte,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,179,Urbano,2.0
63023,Buenos Aires,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1093,Urbano,2.0
63030,Cuitlahuac,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,16,Urbano,2.0
63030,Chapultepec,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,17,Urbano,2.0
63030,Lomas de La Cruz Sutse,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,18,Urbano,2.0
63030,San José,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,19,Urbano,2.0
63035,Jardines del Valle,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,21,Urbano,2.0
63035,Villas del Paraíso,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,78,Urbano,2.0
63035,Bugambilias,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,205,Urbano,2.0
63035,Tulipanes,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1045,Urbano,2.0
63035,Valle Verde de Matatipac,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1064,Urbano,2.0
63035,Valle de La Cruz,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1066,Urbano,2.0
63035,Valle de Zaragoza,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1067,Urbano,2.0
63035,Ampliación El Paraíso,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1068,Urbano,2.0
63035,Nuevo Progreso,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,1070,Urbano,2.0
63035,Islas del Paraíso,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1112,Urbano,2.0
63037,Lomas de La Cruz,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,25,Urbano,2.0
63037,Los Viveros,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,26,Urbano,2.0
63037,Sindicalistas,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,27,Urbano,2.0
63037,Villas de la Cruz,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,197,Urbano,2.0
63037,Residencial La Esmeralda,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,201,Urbano,2.0
63037,Valle Verde Conalep,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,992,Urbano,2.0
63037,Ingeniero Agrónomo,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,996,Urbano,2.0
63037,La Loma,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1043,Urbano,2.0
63037,Los Arcos,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1062,Urbano,2.0
63037,La Lomita,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1094,Urbano,2.0
63037,Villas de Zapopan,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1097,Urbano,2.0
63037,Villas de la Laguna,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1215,Urbano,2.0
63037,Villas Arana,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1856,Urbano,2.0
63038,El Mirador INFONAVIT,Unidad habitacional,Tepic,Nayarit,Tepic,63001,18,63001,,31,17,29,Urbano,2.0
63038,El Paraíso,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,30,Urbano,2.0
63038,Emilio M. González,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,31,Urbano,2.0
63038,Las Conchas,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,32,Urbano,2.0
63038,Las Pares,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,33,Urbano,2.0
63038,Reforma,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,34,Urbano,2.0
63038,Rancho las Cruces,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,215,Urbano,2.0
63039,Puerta de La Laguna,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,35,Urbano,2.0
63039,Real Montecarlo,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,203,Urbano,2.0
63039,Camino Real,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,213,Urbano,2.0
63039,Social Progresivo Cuba,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,214,Urbano,2.0
63039,Aztlán El Verde,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,991,Urbano,2.0
63039,Riveras de La Laguna,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,1084,Urbano,2.0
63040,Magisterial,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,36,Urbano,2.0
63050,El Parían,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,37,Urbano,2.0
63050,Miguel Ángel Paredes,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,38,Urbano,2.0
63050,Mololoa,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,39,Urbano,2.0
63058,Rivas Allende,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,40,Urbano,2.0
63058,Sandino,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,,9,17,41,Urbano,2.0
63058,Sanchez Ibarra,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,,21,17,42,Urbano,2.0
