d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
64000,Monterrey Centro,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,1,Urbano,7.0
64000,La Finca,Condominio,Monterrey,Nuevo León,Monterrey,64008,19,64008,,10,39,3429,Urbano,7.0
64010,Obrera,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,11,Urbano,7.0
64018,Desarrollo Urbano Reforma,Unidad habitacional,Monterrey,Nuevo León,Monterrey,64008,19,64008,,31,39,12,Urbano,7.0
64018,Nuevo Centro de Monterrey,Equipamiento,Monterrey,Nuevo León,Monterrey,64008,19,64008,,17,39,4920,Urbano,7.0
64019,Condominios Constitución,Unidad habitacional,Monterrey,Nuevo León,Monterrey,64008,19,64008,,31,39,13,Urbano,7.0
64020,Gonzalitos,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,14,Urbano,7.0
64020,Mitras Sur,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,15,Urbano,7.0
64030,Chepevera,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,16,Urbano,7.0
64030,Lomas,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,17,Urbano,7.0
64040,Deportivo Obispado,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,18,Urbano,7.0
64040,María Luisa,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,19,Urbano,7.0
64040,Unidad Aldama,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,4401,Urbano,7.0
64049,Exseminario,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,20,Urbano,7.0
64050,Jardín,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,21,Urbano,7.0
64050,Jardines del Cerro,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,22,Urbano,7.0
64060,Obispado,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,23,Urbano,7.0
64070,Mirador,Colonia,Monterrey,Nuevo León,Monterrey,64008,19,64008,,9,39,24,Urbano,7.0
64100,San Bernabé,Colonia,Monterrey,Nuevo León,Monterrey,64291,19,64291,,9,39,26,Urbano,7.0
64102,Barrio Antiguo Ciudad Solidaridad,Fraccionamiento,Monterrey,Nuevo León,Monterrey,64291,19,64291,,21,39,25,Urbano,7.0
64102,Reserva Cumbres,Fraccionamiento,Monterrey,Nuevo León,Monterrey,64291,19,64291,,21,39,496,Urbano,7.0
64102,Mirasol,Barrio,Monterrey,Nuevo León,Monterrey,64291,19,64291,,2,39,2572,Urbano,7.0
64102,Barrio Chapultepec,Colonia,Monterrey,Nuevo León,Monterrey,64291,19,64291,,9,39,2573,Urbano,7.0
64102,Barrio Aztlán,Colonia,Monterrey,Nuevo León,Monterrey,64291,19,64291,,9,39,2575,Urbano,7.0
64102,Barrio la Moderna,Colonia,Monterrey,Nuevo León,Monterrey,64291,19,64291,,9,39,2576,Urbano,7.0
