d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
76000,Centro,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,1,Urbano,1.0
76000,San José Inn,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,27,Urbano,1.0
76000,La Cruz,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,808,Urbano,1.0
76000,Rincón de San Andrés,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,1199,Urbano,1.0
76000,Mariano Escobedo,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,31,14,1681,Urbano,1.0
76000,Vicente Guerrero,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,31,14,1682,Urbano,1.0
76000,Rinconada de Morelos,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,31,14,1683,Urbano,1.0
76010,Las Campanas,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,10,Urbano,1.0
76010,Niños Héroes,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,11,Urbano,1.0
76017,Centro Universitario (U.A.Q.),Equipamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,17,14,13,Urbano,1.0
76020,Bosques del Acueducto,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,16,Urbano,1.0
76020,Calesa,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,17,Urbano,1.0
76020,Diligencias,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,18,Urbano,1.0
76020,El Cortijo,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,19,Urbano,1.0
76020,Jardines de Querétaro,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,20,Urbano,1.0
76020,La Cruz,Barrio,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,2,14,21,Urbano,1.0
76020,Pathé,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,22,Urbano,1.0
76020,San Javier,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,23,Urbano,1.0
76020,Los Arcos,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,424,Urbano,1.0
76020,Privada Misterios,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,425,Urbano,1.0
76024,Karina,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,807,Urbano,1.0
76024,La Peñita,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,809,Urbano,1.0
76024,Calesa 2a Sección,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,810,Urbano,1.0
76024,El Cortijo,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,811,Urbano,1.0
76024,Villa los Arcos,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,813,Urbano,1.0
76024,El Cortijo II,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,814,Urbano,1.0
76024,Seminario,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,815,Urbano,1.0
76024,Del Río,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,1028,Urbano,1.0
76025,La Pastora,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,25,Urbano,1.0
76027,Arboledas del Río,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,818,Urbano,1.0
76028,Universidad,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,28,Urbano,1.0
76030,Casa Blanca,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,30,Urbano,1.0
76030,Cimatario,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,31,Urbano,1.0
76030,El Carrizal,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,32,Urbano,1.0
76030,Estrella,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,33,Urbano,1.0
76030,Las Fuentes,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,34,Urbano,1.0
76030,Las Misiones,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,35,Urbano,1.0
76030,Moderna,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,31,14,36,Urbano,1.0
76030,San Ángel,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,37,Urbano,1.0
76030,El Prado,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,41,Urbano,1.0
76036,Rinconada Fray Juan,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,38,Urbano,1.0
76037,Mariano de las Casas,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,39,Urbano,1.0
76040,Alameda,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,42,Urbano,1.0
76040,Aragón,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,43,Urbano,1.0
76040,Las Palmas,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,44,Urbano,1.0
76040,Mercurio,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,45,Urbano,1.0
76040,Observatorio,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,46,Urbano,1.0
76040,Panamericano,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,47,Urbano,1.0
76040,Valle Alameda,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,50,Urbano,1.0
76040,Villas del Sur,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,51,Urbano,1.0
76040,Andalucía,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,31,14,804,Urbano,1.0
76046,El Laurel,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,52,Urbano,1.0
76046,Villas del Sol,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,54,Urbano,1.0
76046,Panorámico,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,819,Urbano,1.0
76047,El Marqués,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,55,Urbano,1.0
76047,Quintas del Marqués,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,56,Urbano,1.0
76048,Arquitos,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,57,Urbano,1.0
76049,Loma Bonita,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,58,Urbano,1.0
76050,Carretas,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,59,Urbano,1.0
76057,Hidalgo,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,60,Urbano,1.0
76058,San Francisquito,Barrio,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,2,14,61,Urbano,1.0
76059,Plaza de las Américas,Zona comercial,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,33,14,62,Urbano,1.0
76060,Loma Dorada,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,64,Urbano,1.0
76060,Vista Dorada,Zona comercial,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,33,14,65,Urbano,1.0
76060,Sámara Habitat,Condominio,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,10,14,335,Urbano,1.0
76060,Milenio III,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,1063,Urbano,1.0
76060,Cumbres del Mirador,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,2260,Urbano,1.0
76063,Vista Hermosa,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,66,Urbano,1.0
76063,La Virgen,Condominio,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,10,14,328,Urbano,1.0
76063,Villas del Oriente,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,820,Urbano,1.0
76063,Cuesta Bonita,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,1706,Urbano,1.0
76063,Pedregal de Vista Hermosa,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,3059,Urbano,1.0
76067,La Laguna,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,805,Urbano,1.0
76069,Jardines de Hércules,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,69,Urbano,1.0
76069,2 de Abril,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,937,Urbano,1.0
76069,El Bosque,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,969,Urbano,1.0
76069,El Limonar,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,973,Urbano,1.0
76069,Tejas,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,974,Urbano,1.0
76069,Hércules,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,975,Urbano,1.0
76069,8 de Diciembre,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,976,Urbano,1.0
76069,Bugambilias,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,21,14,1184,Urbano,1.0
76069,La Estación,Barrio,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,2,14,1210,Urbano,1.0
76069,San José de los Perales,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,1703,Urbano,1.0
76069,La Cuesta,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,1704,Urbano,1.0
76069,La Estación 2a. Sección,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,3028,Urbano,1.0
76069,Nuevo Morelos,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76022,22,76022,,9,14,3029,Urbano,1.0
76070,Corregidora (Burocrata),Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,71,Urbano,1.0
76070,Prados del Mirador,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,72,Urbano,1.0
76070,Vista,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,31,14,842,Urbano,1.0
76070,El Retiro,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,849,Urbano,1.0
76070,Loma Linda,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,850,Urbano,1.0
76070,Conjunto Terranova,Unidad habitacional,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,31,14,1030,Urbano,1.0
76074,La Alhambra,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,828,Urbano,1.0
76074,Vista Alegre,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,851,Urbano,1.0
76074,Vista Alegre 2a. Sección,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,852,Urbano,1.0
76074,Vista Alegre 3a. Sección,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,854,Urbano,1.0
76074,Palomar del Duque,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,2196,Urbano,1.0
76079,Balaustradas,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,74,Urbano,1.0
76079,Quinta Balaustradas,Fraccionamiento,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,21,14,855,Urbano,1.0
76080,Lomas de Casa Blanca,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,75,Urbano,1.0
76080,Presidentes,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,77,Urbano,1.0
76085,Azteca,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,79,Urbano,1.0
76085,Arte Mexicano,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,829,Urbano,1.0
76085,El Marqués Queretano,Colonia,Querétaro,Querétaro,Santiago de Querétaro,76201,22,76201,,9,14,830,Urbano,1.0
