d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
77000,Chetumal Centro,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,1,Urbano,4.0
77010,Adolfo López Mateos,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,9,Urbano,4.0
77010,Francisco J Mújica INFONAVIT,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,10,Urbano,4.0
77010,Naval,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,11,Urbano,4.0
77010,Bugambilias,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,629,Urbano,4.0
77010,Del Mar,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,739,Urbano,4.0
77010,Isabel Tenorio,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,748,Urbano,4.0
77012,Venustiano Carranza (Casitas),Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,13,Urbano,4.0
77013,David G Gutiérrez Ruiz,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,14,Urbano,4.0
77014,Pacto Obrero Campesino,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,15,Urbano,4.0
77014,Infonavit Santa María,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,16,Urbano,4.0
77014,Centenario,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,81,Urbano,4.0
77014,Flamingos,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,90,Urbano,4.0
77014,Villas Kinichna,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,769,Urbano,4.0
77014,Unidad Antorchista,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,779,Urbano,4.0
77014,Oxtankah,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,833,Urbano,4.0
77014,Andara,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,901,Urbano,4.0
77014,Los Arcos,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,909,Urbano,4.0
77015,Constituyentes,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,17,Urbano,4.0
77015,Industrial,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,18,Rural,4.0
77016,Leona Vicario,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,19,Urbano,4.0
77016,Martínez Ross,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,20,Urbano,4.0
77017,Ley Federal de Agua,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,21,Urbano,4.0
77017,SAHOP,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,22,Urbano,4.0
77018,5 de Abril,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,23,Urbano,4.0
77018,Reforma,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,24,Urbano,4.0
77018,Avancemos Juntos,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,622,Urbano,4.0
77019,Del Bosque,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,25,Urbano,4.0
77020,Gonzalo Guerrero,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,27,Urbano,4.0
77020,Rafael E Melgar FOVISSSTE,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,28,Urbano,4.0
77023,INFONAVIT Enrique Ramírez y Ramírez,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,30,Urbano,4.0
77023,Miraflores II,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,735,Urbano,4.0
77024,Cedros,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,31,Urbano,4.0
77024,Fovissste (II Etapa),Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,751,Urbano,4.0
77025,Forjadores de Quintana Roo,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,32,Urbano,4.0
77025,Guadalupe Victoria,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,60,Urbano,4.0
77025,Residencial Marsella,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,83,Urbano,4.0
77025,Los Almendros,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,619,Urbano,4.0
77025,Sutage INFONAVIT,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,625,Urbano,4.0
77025,Milenio,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,731,Urbano,4.0
77026,Jardines,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,33,Urbano,4.0
77026,Tumben Cuxtal,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,626,Urbano,4.0
77026,Fovissste  IV Etapa,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,627,Urbano,4.0
77026,El Sol,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,733,Urbano,4.0
77027,Miraflores,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,34,Urbano,4.0
77028,8 de Octubre,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,35,Urbano,4.0
77028,Plutarco Elías Calles,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,36,Urbano,4.0
77029,Lagunitas,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,37,Urbano,4.0
77029,Los Monos,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,772,Urbano,4.0
77029,Bosques del Lago,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,870,Urbano,4.0
77030,Campestre,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,38,Urbano,4.0
77034,Framboyanes,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,39,Urbano,4.0
77035,Italia,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,40,Urbano,4.0
77036,Josefa Ortiz de Domínguez,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,41,Urbano,4.0
77037,Aserradero,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,42,Urbano,4.0
77037,Benito Juárez,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,43,Urbano,4.0
77037,Taxistas,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,44,Urbano,4.0
77038,20 de Noviembre,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,45,Urbano,4.0
77039,Magisterial,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,46,Urbano,4.0
77039,Residencial Mediterráneo,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,85,Urbano,4.0
77039,17 de Octubre,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,99,Urbano,4.0
77040,Santa Isabel,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,47,Urbano,4.0
77041,CERESO Chetumal,Equipamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,17,4,48,Urbano,4.0
77048,Chetumal (Internacional de Chetumal),Aeropuerto,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,1,4,49,Urbano,4.0
77049,Estatuto Jurídico (FOVISSSTE 5a Etapa),Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,631,Urbano,4.0
77050,Aeropuerto,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,51,Urbano,4.0
77050,Infonavit Álvaro Obregón,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,52,Urbano,4.0
77050,Infonavit Hermanos Flores Magón,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,53,Urbano,4.0
77050,Fovissste (I Etapa),Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,54,Urbano,4.0
77050,Cascadas II,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,732,Urbano,4.0
77050,Cascada I,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,734,Urbano,4.0
77050,Residencial La Herradura,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,776,Urbano,4.0
77053,Lomas del Caribe,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,741,Urbano,4.0
77059,Infonavit Villas Chetumal,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,55,Urbano,4.0
77060,Militar,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,57,Urbano,4.0
77070,Infonavit Aarón Merino Fernández,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,58,Urbano,4.0
77079,Bahía,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,59,Urbano,4.0
77079,Fovissste VI Etapa (Tampico),Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,61,Urbano,4.0
77079,Zona de Granjas,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,62,Urbano,4.0
77079,Las Brisas,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,69,Urbano,4.0
77079,Residencial Caribe,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,740,Urbano,4.0
77080,INFONAVIT Fidel Velázquez,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,63,Urbano,4.0
77082,Jardines de Payo Obispo,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,64,Urbano,4.0
77082,Kilómetro 5,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,65,Urbano,4.0
77083,Nuevo Progreso,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,66,Urbano,4.0
77083,Tamalcab,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,743,Urbano,4.0
77083,Payo Obispo,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,750,Urbano,4.0
77084,INFONAVIT Emancipación,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,68,Urbano,4.0
77084,Payo Obispo,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,746,Urbano,4.0
77084,Maya Real,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,767,Urbano,4.0
77085,Hacienda Chetumal,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,885,Urbano,4.0
77086,Proterritorio,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,5,Urbano,4.0
77086,El Encanto,Conjunto habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,12,4,6,Urbano,4.0
77086,Andrés Quintana Roo,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,29,Urbano,4.0
77086,Solidaridad,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,70,Urbano,4.0
77086,La Esperanza,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,74,Urbano,4.0
77086,Residencial del Sol,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,82,Urbano,4.0
77086,Félix Gonzalez Canto,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,86,Urbano,4.0
77086,Sian Kaan II,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,88,Urbano,4.0
77086,Residencial Constituyentes,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,91,Urbano,4.0
77086,Espíritu Santo,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,95,Urbano,4.0
77086,Residencial Bosque Real,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,96,Urbano,4.0
77086,Los Encinos,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,97,Urbano,4.0
77086,El Edén,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,103,Urbano,4.0
77086,Las Arboledas,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,684,Urbano,4.0
77086,Residencial Chetumal,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,730,Urbano,4.0
77086,Caribe,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,742,Urbano,4.0
77086,Territorio Federal de Quintana Roo,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,744,Urbano,4.0
77086,INFONAVIT 17 de Octubre,Unidad habitacional,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,31,4,747,Urbano,4.0
77086,Lázaro Cárdenas,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,749,Urbano,4.0
77086,Nueva Generación,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,768,Urbano,4.0
77086,Las Américas,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,774,Urbano,4.0
77086,Residencial Arboledas,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,818,Urbano,4.0
77086,Sian Kaan,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,899,Urbano,4.0
77086,Bicentenario,Fraccionamiento,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,21,4,1224,Urbano,4.0
77090,Plutarco Elías Calles,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,71,Urbano,4.0
77098,Barrio Bravo,Barrio,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,2,4,72,Urbano,4.0
77099,Primera Legislatura,Colonia,Othón P. Blanco,Quintana Roo,Chetumal,77001,23,77001,,9,4,73,Urbano,4.0
77100,Laguna Kaná,Pueblo,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,28,2,74,Rural,
77104,Chan Santa Cruz,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,75,Rural,
77104,Mixtequilla,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,76,Rural,
77104,Santa María Poniente,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,77,Rural,
77105,San Andrés,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,78,Rural,
77105,Chancah Derrepente,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,122,Rural,
77105,Kopchen,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,127,Rural,
77105,Noh-Cah,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,770,Rural,
77106,X-Konha,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,2,Rural,
77106,Santa Isabel,Colonia,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,9,2,9,Rural,
77106,X-Hazil Sur,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,79,Rural,
77107,Betania,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,80,Rural,
77108,Chunhuás,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,81,Rural,
77110,Tuzik,Pueblo,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,28,2,82,Rural,
77114,San José Segundo,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,83,Rural,
77115,San Felipe Berriozábal,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,84,Rural,
77115,Trapich,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,85,Rural,
77116,Kankabdzonot,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,12,Rural,
77116,Francisco I. Madero,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,86,Rural,
77117,Francisco May,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,87,Rural,
77117,Kancabchén,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,106,Rural,
77118,Yalchén,Colonia,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,9,2,6,Rural,
77118,San Silverio,Colonia,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,9,2,10,Rural,
77118,Tac-Chivo,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,11,Rural,
77118,San Ramón,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,88,Rural,
77120,Tepich,Pueblo,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,28,2,89,Rural,
77121,Tihosuco,Pueblo,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,28,2,90,Rural,
77123,Dzoyola,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,92,Rural,
77125,San Francisco Aké,Ranchería,Felipe Carrillo Puerto,Quintana Roo,,77201,23,77201,,29,2,93,Rural,
