d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
78000,San Luis Potosí Centro,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,9,28,1,Urbano,5.0
78037,La Paz,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,9,28,17,Urbano,5.0
78037,Cerrada Tlaxcala,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,28,447,Urbano,5.0
78038,Tlaxcala,Barrio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,2,28,18,Urbano,5.0
78038,Privada Caracol,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,28,2988,Urbano,5.0
78040,Hidalgo,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,9,28,20,Urbano,5.0
78049,Rinconada de Santiago,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,9,28,21,Urbano,5.0
78049,Juan Álvarez,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,9,28,23,Urbano,5.0
78049,Santiago del Río,Barrio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,2,28,24,Urbano,5.0
78049,Santiago del Río,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,28,75,Urbano,5.0
78049,Colonial Huerta Real,Condominio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,10,28,341,Urbano,5.0
78049,Ribera de Santiago,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,28,448,Urbano,5.0
78049,Fresnos del Río,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,28,2061,Urbano,5.0
