d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
80000,Centro,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80001,25,80001,,9,6,1,Urbano,2.0
80000,Centro Sinaloa,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80001,25,80001,,9,6,525,Urbano,2.0
80010,Arboledas,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,9,Urbano,2.0
80010,Ignacio Allende,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,11,Urbano,2.0
80010,6 de Enero,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,12,Urbano,2.0
80010,Vicente Lombardo Toledano,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,13,Urbano,2.0
80010,Villa Universidad,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,14,Urbano,2.0
80010,Los Sabinos Tres Ríos,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,496,Urbano,2.0
80010,Fresnos,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,2023,Urbano,2.0
80010,Espacios Marsella,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,2808,Urbano,2.0
80013,Ciudad Universitaria,Equipamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,17,6,16,Urbano,2.0
80013,Obrero Campesino,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,17,Urbano,2.0
80013,Universitaria,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,18,Urbano,2.0
80014,Agrarista Mexicana,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,19,Urbano,2.0
80014,Buena Vista,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,20,Urbano,2.0
80014,Rosario Uzarraga,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,21,Urbano,2.0
80014,Zona Dorada II,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,45,Urbano,2.0
80014,Valle del Agua,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,280,Urbano,2.0
80014,Amorada,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,287,Urbano,2.0
80014,Sfera Residencial,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,295,Urbano,2.0
80014,Portabelo,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,299,Urbano,2.0
80014,Albaterra,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,303,Urbano,2.0
80014,Benevento Residencial,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,319,Urbano,2.0
80014,Lomas Verdes,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,499,Urbano,2.0
80014,Gran Vía,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,529,Urbano,2.0
80014,Vía San José,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,531,Urbano,2.0
80014,Lomas de Tamazula,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,544,Urbano,2.0
80014,Acanto,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,548,Urbano,2.0
80014,Ampliación los Ángeles,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,549,Urbano,2.0
80014,Portabelo III,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,551,Urbano,2.0
80014,Provenza,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,557,Urbano,2.0
80014,Palmanova,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,558,Urbano,2.0
80014,Jardín Real,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,560,Urbano,2.0
80014,San José,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,561,Urbano,2.0
80014,Las Águilas,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,563,Urbano,2.0
80014,Palos Altos,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,564,Urbano,2.0
80014,Los Angeles,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,1345,Urbano,2.0
80014,Nueva Galaxia,Colonia,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,9,6,1346,Urbano,2.0
80014,Floresta,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,2155,Urbano,2.0
80014,Las Glorias,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,2320,Urbano,2.0
80014,Maralago,Fraccionamiento,Culiacán,Sinaloa,Culiacán Rosales,80011,25,80011,,21,6,2809,Urbano,2.0
