d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
90000,Tlaxcala Centro,Colonia,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,9,33,1,Urbano,3.0
90000,Huertas de San Francisco,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,855,Urbano,3.0
90006,Universidad Autónoma de Tlaxcala,Equipamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,17,33,582,Urbano,3.0
90010,San Buenaventura Atempan,Pueblo,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,28,33,9,Urbano,3.0
90013,Xicohténcatl,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,630,Urbano,3.0
90014,Vista Malintzi,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,3,Urbano,3.0
90014,El Bosque,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,543,Urbano,3.0
90014,Los Potrillos,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,544,Urbano,3.0
90014,Vista Hermosa,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,545,Urbano,3.0
90014,Los Causes,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,546,Urbano,3.0
90014,Magisterial Vista Hermosa,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,547,Urbano,3.0
90014,Cuarto Señorío,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,548,Urbano,3.0
90014,Los Volcanes,Colonia,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,9,33,629,Urbano,3.0
90019,Los Pinos,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,10,Urbano,3.0
90020,Pensionados Militares,Colonia,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,9,33,11,Urbano,3.0
90030,Felipe Santiago Xicoténcatl,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,12,Urbano,3.0
90030,Los Volcanes,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,550,Urbano,3.0
90030,Las Ánimas,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,551,Urbano,3.0
90030,Paso de Cortes,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,552,Urbano,3.0
90030,Cuarto Señoríos,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,553,Urbano,3.0
90030,Real del Sol,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,554,Urbano,3.0
90030,Lomas de Coyotepec,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,555,Urbano,3.0
90030,Las Ánimas,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,593,Urbano,3.0
90030,Ameyal,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,684,Urbano,3.0
90030,Residencial Jardines de San Gabriel,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,685,Urbano,3.0
90030,Villa de los Ángeles,Unidad habitacional,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,31,33,686,Urbano,3.0
90030,Los Girasoles,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,687,Urbano,3.0
90030,Los Pinos,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,690,Urbano,3.0
90030,El Real,Fraccionamiento,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,21,33,799,Urbano,3.0
90040,San Miguel Tlamahuco,Colonia,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,9,33,5,Urbano,3.0
90040,Adolfo López Mateos,Colonia,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90001,29,90001,,9,33,14,Urbano,3.0
