d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
91000,Xalapa Enríquez Centro,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1,Urbano,10.0
91010,21 de Marzo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,11,Urbano,10.0
91010,Del Periodista,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,25,Urbano,10.0
91010,Arroyo Zarco,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,631,Urbano,10.0
91010,18 de Marzo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,4219,Urbano,10.0
91010,Brisas del Río Sedeño,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5981,Urbano,10.0
91010,Mesa de Guayabo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5998,Urbano,10.0
91013,Nahuiollin,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,980,Urbano,10.0
91013,El Porvenir I,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1018,Urbano,10.0
91013,El Porvenir II,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1019,Urbano,10.0
91013,Solidaridad,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1113,Urbano,10.0
91013,Insurgentes,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,4225,Urbano,10.0
91013,Ampliación Manantiales,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5996,Urbano,10.0
91013,Ampliación Renacimiento,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5997,Urbano,10.0
91013,Victimas del 6 de Septiembre,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,6003,Urbano,10.0
91014,Loma Bonita,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,184,Urbano,10.0
91014,Guadalupe Victoria,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,822,Urbano,10.0
91014,Luz del Barrio,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,951,Urbano,10.0
91014,Lomas de Chapultepec,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,4222,Urbano,10.0
91015,El Pocito,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,14,Urbano,10.0
91015,Lomas de San Roque,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,15,Urbano,10.0
91015,10 de Abril,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,17,Urbano,10.0
91015,Niños Héroes,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,18,Urbano,10.0
91015,Framboyanes,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,23,Urbano,10.0
91015,Isauro Acosta,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5994,Urbano,10.0
91016,Ruben R Jaramillo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,19,Urbano,10.0
91016,9 de Abril,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,4223,Urbano,10.0
91016,Independencia,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,4224,Urbano,10.0
91016,Altamira,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5990,Urbano,10.0
91016,Comercio,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5991,Urbano,10.0
91016,Luis Donaldo Colosio,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5993,Urbano,10.0
91017,Rafael Murillo Vidal,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,7,Urbano,10.0
91017,Unidad del Bosque Pensiones,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,9,Urbano,10.0
91017,Magisterial,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,10,Urbano,10.0
91017,Virginia Cordero de Murillo Vidal,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,12,Urbano,10.0
91017,Rafael Hernández Ochoa,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,20,Urbano,10.0
91017,Ampliación Rafael Murillo Vidal,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5995,Urbano,10.0
91018,Veracruz,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,24,Urbano,10.0
91018,Dolores Hidalgo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,719,Urbano,10.0
91018,Fernando Gutiérrez Barrios,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,824,Urbano,10.0
91018,Manantiales,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,959,Urbano,10.0
91018,Plan de Ayala,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1012,Urbano,10.0
91018,Renacimiento,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1044,Urbano,10.0
91018,Diamante,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5420,Urbano,10.0
91020,Adolfo Lopez Mateos,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,26,Urbano,10.0
91020,Obrero Campesina,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,29,Urbano,10.0
91020,Veracruz,Fraccionamiento,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,21,87,30,Urbano,10.0
91023,Lomas Del Seminario,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,13,Urbano,10.0
91023,Fovissste,Unidad habitacional,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,31,87,28,Urbano,10.0
91023,Presa de San Bruno,Fraccionamiento,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,21,87,1045,Urbano,10.0
91023,Empleados Municipales,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5427,Urbano,10.0
91024,Los Encinos,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,787,Urbano,10.0
91024,UCISVER,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1136,Urbano,10.0
91024,UNE PRI,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1138,Urbano,10.0
91024,Unidad y Progreso,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,1141,Urbano,10.0
91024,La Pedreguera,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5428,Urbano,10.0
91024,24 de Abril,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,6001,Urbano,10.0
91025,Arroyo Blanco,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,61,Urbano,10.0
91025,Villa Real,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,68,Urbano,10.0
91025,Josefa Ortiz de Dominguez,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,70,Urbano,10.0
91025,Barranca Honda,Fraccionamiento,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,21,87,4226,Urbano,10.0
91025,14 de Febrero,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5982,Urbano,10.0
91026,Francisco Ferrer Guardia,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,27,Urbano,10.0
91026,Los Pinos,Fraccionamiento,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,21,87,31,Urbano,10.0
91026,Cerro Colorado,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,33,Urbano,10.0
91027,Las Flores,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,32,Urbano,10.0
91027,Acueducto,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,601,Urbano,10.0
91027,Desarrollo Social San Bruno,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,712,Urbano,10.0
91027,Montevideo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,977,Urbano,10.0
91027,Dante Delgado Ranauro,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5988,Urbano,10.0
91027,Valle del Sol,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,5989,Urbano,10.0
91028,Olmeca,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,998,Urbano,10.0
91030,Del Maestro,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,36,Urbano,10.0
91030,José Cardel,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,40,Urbano,10.0
91033,2 de Abril,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,37,Urbano,10.0
91033,Maria Esther,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,42,Urbano,10.0
91037,Los Laureles,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,47,Urbano,10.0
91040,La Piedad,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,41,Urbano,10.0
91040,Modelo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,51,Urbano,10.0
91040,Unidad Pomona,Fraccionamiento,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,21,87,52,Urbano,10.0
91040,Pumar,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,53,Urbano,10.0
91045,Agua Santa Infonavit,Unidad habitacional,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,31,87,50,Urbano,10.0
91045,Castillo de las Animas,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91002,30,91002,,9,87,56,Urbano,10.0
