d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
97000,Mérida Centro,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,1,Urbano,1.0
97000,Itzaes,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,14,Urbano,1.0
97000,Madrid,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,23,Urbano,1.0
97000,Villa Fontana,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,711,Urbano,1.0
97000,La Quinta,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,894,Urbano,1.0
97000,Los Cocos,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,896,Urbano,1.0
97000,Privada Del Maestro,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,904,Urbano,1.0
97000,Jardines de San Sebastian,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,1855,Urbano,1.0
97003,Los Reyes,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,796,Urbano,1.0
97050,Alcalá Martín,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,10,Urbano,1.0
97050,Yucatán,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,11,Urbano,1.0
97059,Señorial,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,12,Urbano,1.0
97060,Carrillo Ancona,Colonia,Mérida,Yucatán,Mérida,97212,31,97212,,9,50,13,Urbano,1.0
97069,Inalámbrica,Colonia,Mérida,Yucatán,Mérida,97212,31,97212,,9,50,15,Urbano,1.0
97070,Dolores Patron,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,16,Urbano,1.0
97070,Garcia Gineres,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,17,Urbano,1.0
